number of observations,party_name,state,constituency,constituency_type,Checked,gender,member_name,profession,education_category,Source ( if not on sansad),Occupation category,Category 2,,TABLE,Occupation Categorry,Count,,Occupation category(shortened),Count
91,Bharatiya Janata Party,Madhya Pradesh,Jabalpur,General,1,Male,Ashish Dubey,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
92,Bharatiya Janata Party,Uttar Pradesh,Kushi Nagar,General,1,Male,Vijay Kumar Dubey,Agriculture and allied,12th,,Agriculture,,,,,,,,
107,Indian National Congress,Punjab,Firozpur,General,1,Male,Sher Singh Ghubaya,Agriculture and allied,10th,,Agriculture,,,,,,,,
114,Bharatiya Janata Party,Haryana,Faridabad,General,1,Male,Krishan Pal Gurjar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
119,Indian National Congress,Assam,Dhubri,General,1,Male,Md. Rakibul Hussain,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
121,Bharatiya Janata Party,Gujarat,Panchmahal,General,1,Male,Rajpalsinh Mahendrasinh Jadav,Agriculture and allied,Under Graduate,,Agriculture,,,,,,,,
122,Shiv Sena,Maharashtra,Buldhana,General,1,Male,Prataprao Ganpatrao Jadhav,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
123,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Parbhani,General,1,Male,Sanjay Haribhau Jadhav,Agriculture and allied,10th,,Agriculture,,,,,,,,
135,Indian National Congress,Tamil Nadu,Karur,General,1,Female,S Jothimani,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
136,Dravida Munnetra Kazhagam,Tamil Nadu,Pollachi,General,1,Male,Eswarasamy K,Agriculture and allied,10th,,Agriculture,,,,,,,,
139,Bharatiya Janata Party,Karnataka,Uttara Kannada,General,1,Male,Vishweshwar Hegde Kageri,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
140,Indian National Congress,Maharashtra,Jalna,General,1,Male,Kalyan Vaijinathrao Kale,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
141,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Wardha,General,1,Male,Amar Sharadrao Kale,Agriculture and allied,Under Graduate,,Agriculture,,,,,,,,
142,Telugu Desam Party,Andhra Pradesh,Vizianagaram,General,1,Male,Appalanaidu Kalisetti,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
143,Janata Dal (United),Bihar,Supaul,General,1,Male,Dileshwar Kamait,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
144,Aam Aadmi Party,Punjab,Anandpur Sahib,General,1,Male,Malvinder Singh Kang,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
149,All India Trinamool Congress,West Bengal,Murshidabad,General,,Male,Abu Taher Khan,"ultivation, Politics and Social service",12th,MyNeta,Agriculture,Social Worker,,,,,,,
156,Janata Dal (United),Bihar,Nalanda,General,1,Male,Kaushalendra Kumar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
158,Janata Dal (United),Bihar,Valmiki Nagar,General,1,Male,Sunil Kumar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
159,Janata Dal (Secular),Karnataka,Mandya,General,1,Male,H D Kumaraswamy,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
161,Bharatiya Janata Party,Madhya Pradesh,Gwalior,General,1,Male,Bharat Singh Kushwah,Agriculture and allied,12th,,Agriculture,,,,,,,,
165,Bharatiya Janata Party,Haryana,Karnal,General,1,Male,Manohar Lal,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
167,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Ahmednagar,General,1,Male,Nilesh Dnyandev Lanke,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
168,Samajwadi Party,Uttar Pradesh,Hamirpur,General,1,Male,Ajendra Singh Lodhi,Agriculture and allied,12th,,Agriculture,,,,,,,,
169,Bharatiya Janata Party,Madhya Pradesh,Damoh,General,1,Male,Rahul Singh Lodhi,Agriculture and allied,12th,,Agriculture,,,,,,,,
170,Dravida Munnetra Kazhagam,Tamil Nadu,Arani,General,1,Male,Tharaniventhan M S,Agriculture and allied,10th,,Agriculture,,,,,,,,
172,Samajwadi Party,Uttar Pradesh,Kheri,General,1,Male,Utkarsh Verma Madhur,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
173,Indian National Congress,Chhattisgarh,Korba,General,1,Female,Jyotsna Charandas Mahant,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
174,Bharatiya Janata Party,Jharkhand,Jamshedpur,General,1,Male,Bidyut Baran Mahato,Agriculture and allied,12th,,Agriculture,,,,,,,,
176,Bharatiya Janata Party,West Bengal,Purulia,General,1,Male,Jyotirmay Singh Mahato,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
181,Samajwadi Party,Uttar Pradesh,Muzaffarnagar,General,1,Male,Harendra Singh Malik,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
183,Janata Dal (United),Bihar,Jhanjharpur,General,1,Male,Ramprit Mandal,Agriculture and allied,10th,,Agriculture,,,,,,,,
188,Indian National Congress,Uttar Pradesh,Saharanpur,General,,Male,Imran Masood,Agriculture,,MyNeta,Agriculture,,,,,,,,
190,Samajwadi Party,Uttar Pradesh,Aonla,General,1,Male,Neeraj Maurya,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
202,Bharatiya Janata Party,Maharashtra,Pune,General,1,Male,Murlidhar Mohol,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
205,Bharatiya Janata Party,Madhya Pradesh,Rajgarh,General,1,Male,Rodmal Nagar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
206,Telugu Desam Party,Andhra Pradesh,Kurnoolu,General,1,Male,Bastipati Nagaraju,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
211,Samajwadi Party,Uttar Pradesh,Sant Kabir Nagar,General,1,Male,Laxmikant Pappu Nishad,Agriculture and allied,12th,,Agriculture,,,,,,,,
212,Samajwadi Party,Uttar Pradesh,Sultanpur,General,,Male,Rambhual Nishad,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
215,Dravida Munnetra Kazhagam,Tamil Nadu,Coimbatore,General,1,Male,Ganapathy Rajkumar P,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
218,Samajwadi Party,Uttar Pradesh,Ballia,General,,Male,Sanatan Pandey,Agriculture and allied,Graduate,MyNeta,Agriculture,,,,,,,,
219,Bharatiya Janata Party,Chhattisgarh,Rajnandgaon,General,1,Male,Santosh Pandey,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
220,Bharatiya Janata Party,Odisha,Kandhamal,General,1,Male,Sukanta Kumar Panigrahi,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
225,Indian National Congress,Haryana,Hisar,General,1,Male,Jai Parkash,Agriculture and allied,12th,,Agriculture,,,,,,,,
226,Telugu Desam Party,Andhra Pradesh,Hindupur,General,1,Male,B K Parthasarathi,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
232,Indian National Congress,Karnataka,Hassan,General,1,Male,Shreyas M Patel,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
235,Bharatiya Janata Party,Gujarat,Navsari,General,1,Male,Chandrakant Raghunath Patil,Agriculture and allied,Under Graduate,,Agriculture,,,,,,,,
236,Bharatiya Janata Party,Madhya Pradesh,Khandwa,General,1,Male,Gyaneshwar Patil,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
242,Bharatiya Janata Party,Karnataka,Udupi Chikmagalur,General,1,Male,Kota Srinivasa Poojary,Agriculture and allied,,,Agriculture,,,,,,,,
247,Samajwadi Party,Uttar Pradesh,Faizabad,General,1,Male,Awadhesh Prasad,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
250,Bharatiya Janata Party,Uttar Pradesh,Pilibhit,General,1,Male,Jitin Prasada,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
253,Bharatiya Janata Party,Odisha,Bargarh,General,1,Male,Pradeep Purohit,Agriculture and allied,12th,,Agriculture,,,,,,,,
259,All India Trinamool Congress,West Bengal,Jangipur,General,1,Male,Khalilur Rahaman,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
260,Bharatiya Janata Party,Bihar,Ujiarpur,General,1,Male,Nityanand Rai,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
262,Samajwadi Party,Uttar Pradesh,Salempur,General,1,Male,Ramashankar Rajbhar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
263,Bharatiya Janata Party,Telangana,Malkajgiri,General,1,Male,Eatala Rajender,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
264,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Osmanabad,General,1,Male,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
265,Bharatiya Janata Party,Uttar Pradesh,Farrukhabad,General,1,Male,Mukesh Rajput,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
266,Nationalist Congress Party - Sharadchandra Pawar,Maharashtra,Madha,General,1,Male,Mohite Patil Dhairyasheel Rajsinh,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
267,Communist Party of India (Marxist),Rajasthan,Sikar,General,1,Male,Amra Ram,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
268,Bharatiya Janata Party,Rajasthan,Jalore,General,1,Male,Lumba Ram,Agriculture and allied,10th,,Agriculture,,,,,,,,
271,Indian National Congress,Punjab,Gurdaspur,General,1,Male,Sukhjinder Singh Randhawa,Agriculture and allied,,MyNeta,Agriculture,,,,,,,,
272,Independent,Bihar,Purnia,General,1,Male,Rajesh Ranjan,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
280,Telugu Desam Party,Andhra Pradesh,Ongole,General,1,Male,Magunta Sreenivasulu Reddy,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
289,Bharatiya Janata Party,Gujarat,Rajkot,General,1,Male,Parshottambhai Rupala,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
290,Dravida Munnetra Kazhagam,Tamil Nadu,Namakkal,General,1,Male,Matheswaran V S,Agriculture and allied,10th,,Agriculture,,,,,,,,
291,Dravida Munnetra Kazhagam,Tamil Nadu,Thanjavur,General,1,Male,Murasoli S,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
297,Bharatiya Janata Party,Odisha,Balasore,General,1,Male,Pratap Chandra Sarangi,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
302,Dravida Munnetra Kazhagam,Tamil Nadu,Salem,General,1,Male,Selvaganapathi T.M.,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
307,Indian National Congress,Maharashtra,Kolhapur,General,1,Male,Chhatrapati Shahu Shahaji,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
308,Samajwadi Party,Uttar Pradesh,Etah,General,1,Male,Devesh Shakya,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
310,Bharatiya Janata Party,Madhya Pradesh,Bhopal,General,1,Male,Alok Sharma,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
312,Bharatiya Janata Party,Madhya Pradesh,Khajuraho,General,1,Male,Vishnu Datt Sharma,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
316,Indian National Congress,Telangana,Zahirabad,General,1,Male,Suresh Kumar Shetkar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
318,Bharatiya Janata Party,Gujarat,Surendranagar,General,1,Male,Chandubhai Chhaganbhai Shihora,Agriculture and allied,12th,,Agriculture,,,,,,,,
320,Bharatiya Janata Party,Bihar,Maharajganj,General,1,Male,Janardan Singh Sigriwal,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
323,Bharatiya Janata Party,Uttar Pradesh,Akbarpur,General,1,Male,Devendra Singh Alias Bhole Singh,Agriculture and allied,10th,,Agriculture,,,,,,,,
326,Bharatiya Janata Party,Madhya Pradesh,Satna,General,1,Male,Ganesh Singh,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
327,Bharatiya Janata Party,Bihar,Begusarai,General,1,Male,Giriraj Singh,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
330,Bharatiya Janata Party,Uttar Pradesh,Gonda,General,1,Male,Kirti Vardhan Singh,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
331,Bharatiya Janata Party,Bihar,Araria,General,1,Male,Pradeep Kumar Singh,Agriculture and allied,10th,,Agriculture,,,,,,,,
332,Bharatiya Janata Party,Bihar,Purvi Champaran,General,1,Male,Radha Mohan Singh,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
337,Bharatiya Janata Party,Rajasthan,Jaipur Rural,General,1,Male,Rao Rajendra Singh,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
340,Samajwadi Party,Uttar Pradesh,Chandauli,General,1,Male,Virendra Singh,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
344,Bharatiya Janata Party,Karnataka,Tumkur,General,1,Male,V Somanna,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
354,Bharatiya Janata Party,Assam,Silchar,General,1,Male,Parimal Suklabaidya,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
358,Bharatiya Janata Party,Gujarat,Amreli,General,1,Male,Bharatbhai Manubhai Sutariya,Agriculture and allied,10th,,Agriculture,,,,,,,,
363,Indian National Congress,Gujarat,Banaskantha,General,,Female,Geniben Nagaji Thakor,"Agriculture, social activist",,MyNeta,Agriculture,Social activist,,,,,,,
367,Bharatiya Janata Party,Bihar,Nawada,General,1,Male,Vivek Thakur,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
368,Dravida Munnetra Kazhagam,Tamil Nadu,Theni,General,1,Male,tamilselvan thanga,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
371,Bharatiya Janata Party,Madhya Pradesh,Morena,General,1,Male,Shivmangal Singh Tomar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
374,Indian National Congress,Puducherry,Puducherry,General,1,Male,Ve Vaithilingam,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
377,Bharatiya Janata Party,Gujarat,Bharuch,General,1,Male,Mansukhbhai Dhanjibhai Vasava,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
382,Samajwadi Party,Uttar Pradesh,Ambedkar Nagar,General,1,Male,Lalji Verma,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
384,Samajwadi Party,Uttar Pradesh,Shrawasti,General,1,Male,Ram Shiromani Verma,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
389,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Nashik,General,1,Male,Rajabhau Parag Prakash Waje,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
390,Bharatiya Janata Party,Madhya Pradesh,Sagar,General,1,Female,Lata Wankhede,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
391,Indian National Congress,Punjab,Ludhiana,General,1,Male,Amrinder Singh Raja Warring,Agriculture and allied,,,Agriculture,,,,,,,,
393,Samajwadi Party,Uttar Pradesh,Kannauj,General,1,Male,Akhilesh Yadav,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
394,Samajwadi Party,Uttar Pradesh,Firozabad,General,1,Male,Akshay Yadav,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
395,Bharatiya Janata Party,Bihar,Madhubani,General,1,Male,Ashok Kumar Yadav,Agriculture and allied,Doctorate,,Agriculture,,,,,,,,
397,Samajwadi Party,Uttar Pradesh,Azamgarh,General,1,Male,Dharmendra Yadav,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
399,Janata Dal (United),Bihar,Banka,General,1,Male,Giridhari Yadav,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
404,Samajwadi Party,Uttar Pradesh,Jalaun,Scheduled Caste,1,Male,Narayandas Ahirwar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
406,Bharatiya Janata Party,Uttar Pradesh,Agra,Scheduled Caste,1,Male,Prof. Prof S P Singh Baghel,Agriculture and allied,Doctorate,,Agriculture,,,,,,,,
416,Samajwadi Party,Uttar Pradesh,Mohanlalganj,Scheduled Caste,1,Male,R K Chaudhary,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
417,Indian National Congress,Haryana,Ambala,Scheduled Caste,1,Male,Varun Chaudhry,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
418,Samajwadi Party,Uttar Pradesh,Robertsganj,Scheduled Caste,1,Male,Chhotelal,Agriculture and allied,Primary,,Agriculture,,,,,,,,
421,Dravida Munnetra Kazhagam,Tamil Nadu,Kancheepuram,Scheduled Caste,1,Male,Selvam G,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
425,Indian National Congress,Rajasthan,Ganganagar,Scheduled Caste,1,Male,Kuldeep Indora,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
427,Indian National Congress,Rajasthan,Karauli-Dholpur,Scheduled Caste,Male,Bhajan Lal Jatav,Agriculture and Business,,MyNeta,,Business,Agriculture,,,,,,,
429,Bharatiya Janata Party,Karnataka,Bijapur,Scheduled Caste,1,Male,Ramesh Chandappa Jigajinagi,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
431,Bharatiya Janata Party,Karnataka,Chitradurga,Scheduled Caste,1,Male,Govind Makthappa Karjol,Agriculture and allied,10th,,Agriculture,,,,,,,,
432,Bharatiya Janata Party,Himachal Pradesh,Shimla,Scheduled Caste,1,Male,Suresh Kumar Kashyap,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
439,Indian National Congress,Bihar,Sasaram,Scheduled Caste,1,Male,Manoj Kumar,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
440,Indian National Congress,Haryana,Sirsa,Scheduled Caste,1,Female,Kumari Selja,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
444,Bharatiya Janata Party,Assam,Karimganj,Scheduled Caste,1,Male,Kripanath Mallah,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
451,Bharatiya Janata Party,Uttar Pradesh,Hardoi,Scheduled Caste,1,Male,Jai Prakash,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
452,Indian National Congress,Uttar Pradesh,Barabanki,Scheduled Caste,1,Male,Tanuj Punia,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
453,Indian National Congress,Karnataka,Gulbarga,Scheduled Caste,1,Male,Radhakrishna,Agriculture and allied,,,Agriculture,,,,,,,,
461,Bharatiya Janata Party,Uttar Pradesh,Shahjahanpur,Scheduled Caste,1,Male,Arun Kumar Sagar,Agriculture and allied,12th,,Agriculture,,,,,,,,
465,Samajwadi Party,Uttar Pradesh,Lalganj,Scheduled Caste,Male,Daroga Prasad Saroj,"Agriculture, Public service",Graduate,MyNeta,,Public Service,Agriculture,,,,,,,
483,Communist Party of India,Tamil Nadu,Nagapattinam,Scheduled Caste,1,Male,Com. Selvaraj V,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
484,Bharatiya Janata Party,Uttar Pradesh,Hathras,Scheduled Caste,Male,Anoop Pradhan Valmiki,Agriculture and allied,Graduate,MyNeta,,Agriculture,,,,,,,,
486,Indian National Congress,Maharashtra,Amravati,Scheduled Caste,1,Male,Balwant Baswant Wankhade,Agriculture and allied,Under Graduate,,Agriculture,,,,,,,,
489,"United Peoples Party, Liberal",Assam,Kokrajhar,Scheduled Tribe,1,Male,Joyanta Basumatary,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
490,Bharatiya Janata Party,Gujarat,Dahod,Scheduled Tribe,1,Male,Jaswantsinh Sumanbhai Bhabhor,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
493,Bharatiya Janata Party,Madhya Pradesh,Ratlam,Scheduled Tribe,1,Female,Anita Nagarsingh Chouhan,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
494,Bharatiya Janata Party,Tripura,Tripura East,Scheduled Tribe,1,Female,Kriti Devi Debbarman,Agriculture and allied,Diploma,,Agriculture,,,,,,,,
495,Jharkhand Mukti Morcha,Jharkhand,Rajmahal,Scheduled Tribe,1,Male,Vijay Kumar Hansdak,Agriculture and allied,10th,,Agriculture,,,,,,,,
496,Bharatiya Janata Party,Chhattisgarh,Bastar,Scheduled Tribe,1,Male,Mahesh Kashyap,Agriculture and allied,10th,,Agriculture,,,,,,,,
499,Bharatiya Janata Party,Madhya Pradesh,Mandla,Scheduled Tribe,1,Male,Faggan Singh Kulaste,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
500,Bharatiya Janata Party,Chhattisgarh,Surguja,Scheduled Tribe,1,Male,Chintamani Maharaj,Agriculture and allied,12th,,Agriculture,,,,,,,,
502,Bharatiya Janata Party,Odisha,Mayurbhanj,Scheduled Tribe,1,Male,Naba Charan Majhi,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
503,Jharkhand Mukti Morcha,Jharkhand,Singhbhum,Scheduled Tribe,,Female,Joba Majhi,Agriculture ,,MyNeta,Agriculture,,,,,,,,
505,Indian National Congress,Jharkhand,Khunti,Scheduled Tribe,1,Male,Kali Charan Munda,Agriculture and allied,12th,,Agriculture,,,,,,,,
506,Bharatiya Janata Party,Chhattisgarh,Kanker,Scheduled Tribe,,Male,Bhojraj Nag,Agriculture ,Under Matric,MyNeta,Agriculture,,,,,,,,
507,Bharatiya Janata Party,Telangana,Adilabad,Scheduled Tribe,1,Male,Godam Nagesh,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
510,Bharatiya Janata Party,Odisha,Sundargarh,Scheduled Tribe,1,Male,Jual Oram,Agriculture and allied,Diploma,,Agriculture,,,,,,,,
513,Bharatiya Janata Party,Madhya Pradesh,Khargone,Scheduled Tribe,1,Male,Gajendra Singh Patel,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
517,Bharatiya Janata Party,Gujarat,Chhota Udaipur,Scheduled Tribe,1,Male,Jashubhai Bhilubhai Rathva,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
519,Bharat Adivasi Party,Rajasthan,Banswara,Scheduled Tribe,1,Male,Rajkumar Roat,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
524,Bharatiya Janata Party,Madhya Pradesh,Shahdol,Scheduled Tribe,1,Female,Himadri Singh,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
525,Jharkhand Mukti Morcha,Jharkhand,Dumka,Scheduled Tribe,1,Male,Nalin Soren,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
527,Bharatiya Janata Party,Madhya Pradesh,Dhar,Scheduled Tribe,1,Female,Savitri Thakur,Agriculture and allied,12th,,Agriculture,,,,,,,,
531,Bharatiya Janata Party,Madhya Pradesh,Betul,Scheduled Tribe,1,Male,Durgadas D D Uikey,Agriculture and allied,Post Graduate,,Agriculture,,,,,,,,
532,Indian National Congress,Odisha,Koraput,Scheduled Tribe,1,Male,Saptagiri Sankar Ulaka,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
535,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,Yavatmal-Washim,General,1,Male,Sanjay Uttamrao Deshmukh,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
537,Shiv Sena,Maharashtra,Hatkanangle,General,1,Male,Dhairyasheel Sambhajirao Mane,Agriculture and allied,Graduate,,Agriculture,,,,,,,,
